Num,Method,Class,Visibility,Lines,Uses_Subprocess,Translation_Type,Category,Extract_To,Notes
1,__init__,CommandTranslator,public,104,No,Core Logic,,,
2,translate,CommandTranslator,public,100,No,Core Logic,,,
3,_parse_command_structure,CommandTranslator,private,109,No,Core Logic,,,
4,_translate_single_command,CommandTranslator,private,58,No,Core Logic,,,
5,_translate_ls,CommandTranslator,private,75,No,Pipeline/Operators,,,
6,_translate_cat,CommandTranslator,private,69,No,Pipeline/Operators,,,
7,_translate_echo,CommandTranslator,private,37,No,Simulation/Workaround,,,
8,_translate_pwd,CommandTranslator,private,3,No,Simple 1:1,,,
9,_translate_cd,CommandTranslator,private,6,No,Simple 1:1,,,
10,_translate_mkdir,CommandTranslator,private,9,No,Simple 1:1,,,
11,_translate_rm,CommandTranslator,private,58,No,Pipeline/Operators,,,
12,_translate_cp,CommandTranslator,private,72,No,Simulation/Workaround,,,
13,_translate_mv,CommandTranslator,private,11,No,Simple 1:1,,,
14,_translate_touch,CommandTranslator,private,26,No,Pipeline/Operators,,,
15,_translate_ln,CommandTranslator,private,124,No,Pipeline/Operators,,,
16,_translate_grep,CommandTranslator,private,138,No,Pipeline/Operators,,,
17,_translate_find,CommandTranslator,private,53,No,Simulation/Workaround,,,
18,_translate_which,CommandTranslator,private,5,No,Simple 1:1,,,
19,_translate_head,CommandTranslator,private,59,No,Pipeline/Operators,,,
20,_translate_tail,CommandTranslator,private,67,No,Pipeline/Operators,,,
21,_translate_wc,CommandTranslator,private,47,No,Pipeline/Operators,,,
22,_translate_sort,CommandTranslator,private,190,No,Pipeline/Operators,,,
23,_translate_uniq,CommandTranslator,private,161,No,Pipeline/Operators,,,
24,_translate_ps,CommandTranslator,private,3,No,Simple 1:1,,,
25,_translate_kill,CommandTranslator,private,8,No,Simple 1:1,,,
26,_translate_env,CommandTranslator,private,15,No,Simple 1:1,,,
27,_translate_printenv,CommandTranslator,private,15,No,Simple 1:1,,,
28,_translate_export,CommandTranslator,private,19,No,Simulation/Workaround,,,
29,_translate_wget,CommandTranslator,private,16,No,Simulation/Workaround,,,
30,_translate_curl,CommandTranslator,private,239,No,Pipeline/Operators,,,
31,_translate_chmod,CommandTranslator,private,3,No,Simple 1:1,,,
32,_translate_chown,CommandTranslator,private,3,No,Simple 1:1,,,
33,_translate_du,CommandTranslator,private,36,No,Pipeline/Operators,,,
34,_translate_df,CommandTranslator,private,3,No,Simple 1:1,,,
35,_translate_date,CommandTranslator,private,46,No,Simulation/Workaround,,,
36,_translate_sleep,CommandTranslator,private,5,No,Simple 1:1,,,
37,_translate_basename,CommandTranslator,private,6,No,Simple 1:1,,,
38,_translate_dirname,CommandTranslator,private,6,No,Simple 1:1,,,
39,_translate_tar,CommandTranslator,private,110,No,Pipeline/Operators,,,
40,_translate_zip,CommandTranslator,private,69,No,Simulation/Workaround,,,
41,_translate_unzip,CommandTranslator,private,88,No,Pipeline/Operators,,,
42,_translate_sed,CommandTranslator,private,233,No,Pipeline/Operators,,,
43,_translate_awk,CommandTranslator,private,172,No,Pipeline/Operators,,,
44,_awk_to_ps_statement,CommandTranslator,private,32,No,Helper,,,
45,_awk_to_ps_condition,CommandTranslator,private,7,No,Helper,,,
46,_translate_cut,CommandTranslator,private,87,No,Pipeline/Operators,,,
47,_parse_cut_range,CommandTranslator,private,20,No,Helper,,,
48,_translate_true,CommandTranslator,private,3,No,Simple 1:1,,,
49,_translate_false,CommandTranslator,private,7,No,Simple 1:1,,,
50,_translate_test,CommandTranslator,private,75,No,Simulation/Workaround,,,
51,_translate_tr,CommandTranslator,private,68,No,Pipeline/Operators,,,
52,_translate_diff,CommandTranslator,private,212,No,Pipeline/Operators,,,
53,_translate_tee,CommandTranslator,private,23,No,Pipeline/Operators,,,
54,_translate_seq,CommandTranslator,private,33,No,Pipeline/Operators,,,
55,_translate_yes,CommandTranslator,private,13,No,Simple 1:1,,,
56,_translate_whoami,CommandTranslator,private,4,No,Simple 1:1,,,
57,_translate_hostname,CommandTranslator,private,4,No,Simple 1:1,,,
58,_translate_file,CommandTranslator,private,21,No,Pipeline/Operators,,,
59,_translate_stat,CommandTranslator,private,21,No,Pipeline/Operators,,,
60,_translate_readlink,CommandTranslator,private,26,No,Simulation/Workaround,,,
61,_translate_realpath,CommandTranslator,private,21,No,Pipeline/Operators,,,
62,_translate_sha256sum,CommandTranslator,private,9,No,Simple 1:1,,,
63,_translate_sha1sum,CommandTranslator,private,9,No,Simple 1:1,,,
64,_translate_md5sum,CommandTranslator,private,9,No,Simple 1:1,,,
65,_translate_hexdump,CommandTranslator,private,131,No,Pipeline/Operators,,,
66,_translate_strings,CommandTranslator,private,68,No,Simulation/Workaround,,,
67,_translate_column,CommandTranslator,private,95,No,Pipeline/Operators,,,
68,_translate_watch,CommandTranslator,private,58,No,Simulation/Workaround,,,
69,_translate_paste,CommandTranslator,private,88,No,Simulation/Workaround,,,
70,_translate_comm,CommandTranslator,private,88,No,Simulation/Workaround,,,
71,_translate_join,CommandTranslator,private,140,No,Pipeline/Operators,,,
72,_translate_base64,CommandTranslator,private,58,No,Pipeline/Operators,,,
73,_translate_timeout,CommandTranslator,private,88,No,Pipeline/Operators,,,
74,_parse_duration,CommandTranslator,private,24,No,Helper,,,
75,_translate_split,CommandTranslator,private,170,No,Pipeline/Operators,,,
76,_parse_size,CommandTranslator,private,26,No,Helper,,,
77,_translate_gzip,CommandTranslator,private,115,No,Pipeline/Operators,,,
78,_translate_gunzip,CommandTranslator,private,92,No,Simulation/Workaround,,,
79,_translate_jq,CommandTranslator,private,111,No,Pipeline/Operators,,,
80,_is_simple_jq_pattern,CommandTranslator,private,36,No,Helper,,,
81,_jq_to_powershell,CommandTranslator,private,66,No,Helper,,,
82,__init__,CommandExecutor,public,,?,,,,
83,execute_bash,CommandExecutor,public,,?,,,,
84,_detect_native_binaries,CommandExecutor,private,,?,,,,
85,_execute_with_gitbash,CommandExecutor,private,,?,,,,
86,_windows_to_gitbash_paths,CommandExecutor,private,,?,,,,
87,_intelligent_fallback,CommandExecutor,private,,?,,,,
88,_delegate_to_translator,CommandExecutor,private,,?,,,,
89,_get_execution_map,CommandExecutor,private,,?,,,,
90,_execute_find,CommandExecutor,private,,?,,,,
91,_execute_curl,CommandExecutor,private,,?,,,,
92,_checksum_generic,CommandExecutor,private,,?,,,,
93,_execute_sha256sum,CommandExecutor,private,,?,,,,
94,_execute_sha1sum,CommandExecutor,private,,?,,,,
95,_execute_md5sum,CommandExecutor,private,,?,,,,
96,_execute_ln,CommandExecutor,private,,?,,,,
97,_parse_find_size,CommandExecutor,private,,?,,,,
98,_execute_join,CommandExecutor,private,,?,,,,
99,_execute_diff,CommandExecutor,private,,?,,,,
100,_execute_awk,CommandExecutor,private,,?,,,,
101,_awk_to_ps_statement,CommandExecutor,private,,?,,,,
102,_awk_to_ps_condition,CommandExecutor,private,,?,,,,
103,_execute_sort,CommandExecutor,private,,?,,,,
104,_execute_uniq,CommandExecutor,private,,?,,,,
105,_execute_grep,CommandExecutor,private,,?,,,,
106,_execute_tar,CommandExecutor,private,,?,,,,
107,_execute_hexdump,CommandExecutor,private,,?,,,,
108,_execute_gzip,CommandExecutor,private,,?,,,,
109,_execute_split,CommandExecutor,private,,?,,,,
110,_parse_size,CommandExecutor,private,,?,,,,
111,_execute_jq,CommandExecutor,private,,?,,,,
112,_is_simple_jq_pattern,CommandExecutor,private,,?,,,,
113,_jq_to_powershell,CommandExecutor,private,,?,,,,
114,_execute_timeout,CommandExecutor,private,,?,,,,
115,_parse_duration,CommandExecutor,private,,?,,,,
116,_execute_sed,CommandExecutor,private,,?,,,,
117,_execute_strings,CommandExecutor,private,,?,,,,
118,_execute_base64,CommandExecutor,private,,?,,,,
119,_execute_gunzip,CommandExecutor,private,,?,,,,
120,_execute_column,CommandExecutor,private,,?,,,,
121,_execute_unzip,CommandExecutor,private,,?,,,,
122,_execute_watch,CommandExecutor,private,,?,,,,
123,_execute_paste,CommandExecutor,private,,?,,,,
124,_execute_comm,CommandExecutor,private,,?,,,,
125,_execute_wget,CommandExecutor,private,,?,,,,
126,_execute_zip,CommandExecutor,private,,?,,,,
127,__init__,BashToolExecutor,public,103,Yes,,,,
128,_detect_git_bash,BashToolExecutor,private,36,Yes,,,,
129,_detect_system_python,BashToolExecutor,private,36,Yes,,,,
130,_expand_braces,BashToolExecutor,private,70,No,,,,
131,_process_heredocs,BashToolExecutor,private,171,Yes,,,,
132,_process_substitution,BashToolExecutor,private,97,Yes,,,,
133,_process_command_substitution_recursive,BashToolExecutor,private,100,No,,,,
134,_translate_substitution_content,BashToolExecutor,private,99,No,,,,
135,_expand_variables,BashToolExecutor,private,243,No,,,,
136,_preprocess_test_commands,BashToolExecutor,private,30,No,,,,
137,_expand_aliases,BashToolExecutor,private,29,No,,,,
138,_process_subshell,BashToolExecutor,private,28,No,,,,
139,_process_command_grouping,BashToolExecutor,private,22,No,,,,
140,_process_xargs,BashToolExecutor,private,27,No,,,,
141,_process_find_exec,BashToolExecutor,private,27,No,,,,
142,_process_escape_sequences,BashToolExecutor,private,14,No,,,,
143,_has_control_structures,BashToolExecutor,private,5,No,,,,
144,_convert_control_structures_to_script,BashToolExecutor,private,32,No,,,,
145,_bash_to_powershell,BashToolExecutor,private,105,No,,,,
146,_convert_test_to_powershell,BashToolExecutor,private,40,No,,,,
147,_cleanup_temp_files,BashToolExecutor,private,10,No,,,,
148,_needs_powershell,BashToolExecutor,private,53,No,,,,
149,_adapt_for_powershell,BashToolExecutor,private,35,No,,,,
150,_setup_virtual_env,BashToolExecutor,private,48,Yes,,,,
151,_process_variable_assignments,BashToolExecutor,private,0,No,,,,
152,execute,BashToolExecutor,public,167,Yes,,,,
153,_setup_environment,BashToolExecutor,private,21,No,,,,
154,_format_result,BashToolExecutor,private,34,No,,,,
155,get_definition,BashToolExecutor,public,20,No,,,,
